nome_no_menu;controller;action
Relatório - U.H. x NC;Governanca;RelatorioUHNC
Relatório - Vistoriador x UH;Governanca;RelatorioVistoriadorUH
Relatório Mensal - PCM;Auditoria;RelatorioMensal
Relatório dinâmico;CadastroBasico;RelatorioItensAuditaveisIndex
Relatório dinâmico;Relatorio;RelatorioDinamicoDia
Relatório itens Auditáveis;Auditoria;Relatorio
Requisiçao (Aprovar / Reprovar);PCM;RequisicaoAprovarReprovarIndex
Requisição;PCM;Requisicao
Requisição de compra;Estoque;RequisicaoCompra
Rotina;CadastroBasico;RotinaIndex
Rotina;PCM;ManutencaoRotina
Saída de material;Estoque;Saida
Setor;CadastroBasico;SetorIndex
Status UH;Governanca;StatusUH
Tarefa;CadastroBasico;TarefaIndex
Tarefa;Qualidade;Tarefa
Tarefa - Histórico;Qualidade;TarefaHistorico
Tempo Médio - Atendimento;Relatorio;ManutencaoTempoMedioAtendimento
Tipo da Cama;CadastroBasico;TipoCamaIndex
Tipo de Ar Condicionado;CadastroBasico;TipoArCondicionadoIndex
Tipo de Despesa;CadastroBasico;TipoDespesaIndex
Tipo de U.H.;CadastroBasico;TipoApartamentoIndex
Tipo de perda de enxoval;Governanca;TipoPerda
Treinamento;CadastroBasico;TreinamentoIndex
Treinamento;Treinamento;TreinamentoIndex
U.H.;CadastroBasico;ApartamentoIndex
Unidades;CadastroBasico;UnidadeIndex
Uso de enxoval;Governanca;RelatorioConsumoEnxovalDia
Usuários;Administracao;UsuarioIndex
Área de Embarque/Desembarque;Agenda;AreaComumIndex
